fecha,conteo_ordenes
2012-10-01,488.84329368325928
2012-10-02,515.78208334927683
2012-10-03,540.71640476893367
2012-10-04,539.22698040001217
2012-10-05,596.59845234732973
2012-10-06,480.44331006554376
2012-10-07,501.72584415926087
2012-10-08,507.30019619266841
2012-10-09,510.77144885777284
2012-10-10,537.32878686673632
2012-10-11,557.94940481009644
2012-10-12,591.58781785582573
2012-10-13,473.89192635319523
2012-10-14,502.37146524005743
2012-10-15,496.66696851678103
2012-10-16,499.35101537750484
2012-10-17,532.69960403228663
2012-10-18,559.63839369830418
2012-10-19,562.72819470635454
2012-10-20,470.42204108253588
2012-10-21,520.82836774946657
2012-10-22,512.71364863250301
2012-10-23,523.92789248473048
2012-10-24,551.53795819874995
2012-10-25,578.4767478647675
2012-10-26,605.41553753078517
2012-10-27,465.41140659103189
2012-10-28,540.04817357298407
2012-10-29,562.18288220510726
2012-10-30,542.29316772803315
2012-10-31,570.37631236521327
2013-02-01,422.64643604505295
2013-02-02,296.09127807707057
2013-02-03,358.91144857420295
2013-02-04,359.21099669236418
2013-02-05,385.38688304427342
2013-02-06,413.08857602439946
2013-02-07,416.17837703244982
2013-02-08,466.96615535643468
2013-02-09,356.19461277520708
2013-02-10,384.45165204695593
2013-02-11,408.60018882308441
2013-02-12,411.68998983113477
2013-02-13,462.47776815511963
2013-02-14,486.3593618697206
2013-02-15,491.74345551507929
