fecha,conteo_ordenes
2012-10-01,165.80000000000001
2012-10-02,209.59999999999999
2012-10-03,210.80000000000001
2012-10-04,251.19999999999999
2012-10-05,245.59999999999999
2012-10-06,225.40000000000001
2012-10-07,194.40000000000001
2012-10-08,174.19999999999999
2012-10-09,219.40000000000001
2012-10-10,216.40000000000001
2012-10-11,339.19999999999999
2012-10-12,206.40000000000001
2012-10-13,170.59999999999999
2012-10-14,146.19999999999999
2012-10-15,184.19999999999999
2012-10-16,221.19999999999999
2012-10-17,205.59999999999999
2012-10-18,205.59999999999999
2012-10-19,220.40000000000001
2012-10-20,168.19999999999999
2012-10-21,179.19999999999999
2012-10-22,193.59999999999999
2012-10-23,184.19999999999999
2012-10-24,192.40000000000001
2012-10-25,198.0
2012-10-26,199.19999999999999
2012-10-27,154.0
2012-10-28,217.0
2012-10-29,220.59999999999999
2012-10-30,172.19999999999999
2012-10-31,158.80000000000001
2013-02-01,217.40000000000001
2013-02-02,321.19999999999999
2013-02-03,240.19999999999999
2013-02-04,219.19999999999999
2013-02-05,234.59999999999999
2013-02-06,260.19999999999999
2013-02-07,217.40000000000001
2013-02-08,245.80000000000001
2013-02-09,261.39999999999998
2013-02-10,240.80000000000001
2013-02-11,269.60000000000002
2013-02-12,270.39999999999998
2013-02-13,260.19999999999999
2013-02-14,260.0
2013-02-15,244.19999999999999
