fecha,conteo_ordenes
2012-10-01,199.42570040665885
2012-10-02,224.22140477261161
2012-10-03,243.82335687901758
2012-10-04,240.63768604463468
2012-10-05,272.93235095990968
2012-10-06,179.26049513429271
2012-10-07,233.73262746716858
2012-10-08,207.37344929618538
2012-10-09,205.55929123652567
2012-10-10,249.92773404855924
2012-10-11,281.28193161143759
2012-10-12,262.1114027295788
2012-10-13,210.24151391202815
2012-10-14,197.73780597219951
2012-10-15,213.10100752483737
2012-10-16,214.83606574962752
2012-10-17,214.19949609709676
2012-10-18,222.0393380435616
2012-10-19,247.1806538171856
2012-10-20,171.31008944158032
2012-10-21,205.73347716955303
2012-10-22,253.51797438286965
2012-10-23,232.17905941666845
2012-10-24,214.96653870404725
2012-10-25,220.42075833665311
2012-10-26,247.62369068018728
2012-10-27,148.31355553260613
2012-10-28,193.35752842801455
2012-10-29,227.90017303951873
2012-10-30,232.18130408682464
2012-10-31,233.32620963447454
2013-02-01,323.48562755156888
2013-02-02,255.06286585888245
2013-02-03,288.19196137878873
2013-02-04,249.09217434754078
2013-02-05,290.33204445275356
2013-02-06,304.23458083935867
2013-02-07,285.45737207672323
2013-02-08,312.33629867630856
2013-02-09,356.17227161260251
2013-02-10,337.95951524114224
2013-02-11,349.20021648541882
2013-02-12,340.87566378802347
2013-02-13,397.74396185497261
2013-02-14,429.47935070122179
2013-02-15,446.78353495714987
