fecha,conteo_ordenes
2012-10-01,181.69999999999999
2012-10-02,187.19999999999999
2012-10-03,201.0
2012-10-04,218.66666666666666
2012-10-05,187.19999999999999
2012-10-06,181.69999999999999
2012-10-07,195.5
2012-10-08,201.0
2012-10-09,203.44999999999999
2012-10-10,248.91666666666666
2012-10-11,248.91666666666666
2012-10-12,203.44999999999999
2012-10-13,195.5
2012-10-14,181.69999999999999
2012-10-15,243.5
2012-10-16,243.5
2012-10-17,229.69999999999999
2012-10-18,203.44999999999999
2012-10-19,248.91666666666666
2012-10-20,181.69999999999999
2012-10-21,217.25
2012-10-22,218.75
2012-10-23,248.91666666666666
2012-10-24,203.44999999999999
2012-10-25,203.44999999999999
2012-10-26,203.44999999999999
2012-10-27,173.53333333333333
2012-10-28,203.44999999999999
2012-10-29,234.91666666666666
2012-10-30,218.75
2012-10-31,248.91666666666666
2013-02-01,258.0
2013-02-02,218.0
2013-02-03,258.0
2013-02-04,265.0
2013-02-05,258.0
2013-02-06,258.0
2013-02-07,258.0
2013-02-08,253.75
2013-02-09,218.75
2013-02-10,243.5
2013-02-11,252.75
2013-02-12,252.75
2013-02-13,252.75
2013-02-14,252.75
2013-02-15,252.75
